Geneid	LT34	LT35	LT36	LT46	LT47	LT48
ENSG00000000003	268	262	281	163	199	225
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	52	63	79	25	54	72
ENSG00000000457	271	301	296	202	256	340
ENSG00000000460	118	196	150	119	176	234
ENSG00000000938	5	13	12	0	17	10
ENSG00000000971	20	115	32	6	51	22
ENSG00000001036	1058	1327	1196	1056	1328	1542
ENSG00000001084	368	464	346	328	390	469
ENSG00000001167	180	316	241	158	272	286
ENSG00000001460	320	315	304	131	141	261
ENSG00000001461	509	531	413	225	341	392
ENSG00000001497	259	383	324	160	382	509
ENSG00000001561	88	110	92	74	63	91
ENSG00000001617	186	338	410	162	266	433
ENSG00000001626	0	3	0	0	2	1
ENSG00000001629	1073	1549	1050	988	992	1414
ENSG00000001630	2549	3081	1578	1539	1902	1713
ENSG00000001631	136	264	168	151	158	144
ENSG00000002016	80	176	102	123	146	190
ENSG00000002330	153	248	142	100	294	209
ENSG00000002549	645	1531	802	477	1026	950
ENSG00000002586	3613	5136	4048	1444	3148	3221
ENSG00000002587	5	9	12	2	0	2
ENSG00000002726	0	0	2	1	0	0
ENSG00000002745	1	9	4	4	2	0
ENSG00000002746	70	85	69	21	58	48
ENSG00000002822	461	610	709	319	857	896
ENSG00000002834	6922	6901	6367	3188	5326	6712
ENSG00000002919	236	200	199	154	217	230
ENSG00000002933	47	183	11	26	82	14
ENSG00000003056	972	2124	1828	1411	3378	3713
ENSG00000003096	72	105	91	54	66	100
ENSG00000003137	20	92	92	20	39	141
ENSG00000003147	51	26	25	29	26	63
ENSG00000003249	763	692	609	345	582	670
ENSG00000003393	735	904	779	518	659	905
ENSG00000003400	27	69	32	15	31	16
ENSG00000003402	449	1046	587	208	638	523
ENSG00000003436	213	468	246	73	208	165
ENSG00000003509	104	110	137	62	75	104
ENSG00000003756	858	1334	1115	684	1103	1463
ENSG00000003987	9	6	2	10	7	6
ENSG00000003989	20	61	28	11	14	46
ENSG00000004059	1257	1480	1440	645	1172	1505
ENSG00000004139	170	311	188	88	296	260
ENSG00000004142	1623	2110	2072	1014	1986	2309
ENSG00000004399	198	294	117	95	283	138
ENSG00000004455	1489	1875	1567	829	1482	1603
ENSG00000004468	42	241	70	4	89	35
ENSG00000004478	3601	4533	4448	3525	5378	6503
ENSG00000004487	519	745	444	444	645	900
ENSG00000004534	463	650	420	473	686	809
ENSG00000004660	298	391	259	270	429	455
ENSG00000004700	508	698	528	467	550	698
ENSG00000004766	454	409	412	444	1026	932
ENSG00000004776	40	112	56	17	161	57
ENSG00000004777	78	131	98	25	79	90
ENSG00000004779	426	757	609	371	854	774
ENSG00000004799	50	55	65	31	33	42
ENSG00000004809	15	15	7	10	9	19
ENSG00000004838	10	12	8	5	11	9
ENSG00000004846	3	1	3	0	4	0
ENSG00000004848	2	5	7	19	8	28
ENSG00000004864	164	107	80	90	175	175
ENSG00000004866	228	315	247	241	288	486
ENSG00000004897	770	1144	822	771	874	1185
ENSG00000004939	4	0	1	1	0	3
ENSG00000004948	0	2	0	0	0	4
ENSG00000004961	311	460	399	302	555	571
ENSG00000004975	519	852	801	406	959	912
ENSG00000005001	5	13	13	1	0	6
ENSG00000005007	408	665	1087	356	775	1352
ENSG00000005020	279	462	220	280	347	351
ENSG00000005022	3118	4350	4110	1533	3437	3952
ENSG00000005059	213	340	253	180	224	289
ENSG00000005073	114	200	147	193	391	305
ENSG00000005075	607	856	717	384	1128	1014
ENSG00000005100	360	597	432	468	575	917
ENSG00000005102	5	10	4	0	8	3
ENSG00000005108	5	2	3	1	1	2
ENSG00000005156	520	598	788	288	375	591
ENSG00000005175	221	311	179	218	174	234
ENSG00000005187	3	1	0	1	1	0
ENSG00000005189	42	62	25	8	39	11
ENSG00000005194	572	881	868	447	729	902
ENSG00000005206	467	550	572	295	640	759
ENSG00000005238	912	997	915	470	1019	967
ENSG00000005243	100	188	101	74	133	165
ENSG00000005249	35	56	36	23	38	35
ENSG00000005302	309	349	295	244	275	287
ENSG00000005339	3837	4966	4949	3664	6545	7589
ENSG00000005379	56	105	84	47	89	110
ENSG00000005381	2	2	6	0	4	5
ENSG00000005421	1	0	1	0	0	1
ENSG00000005436	166	201	119	150	141	199
ENSG00000005448	136	291	224	80	224	186
ENSG00000005469	18	29	32	9	32	8
ENSG00000005471	19	1	27	8	0	14
ENSG00000005483	463	871	474	418	784	837
ENSG00000005486	1234	1354	1368	527	1220	1283
ENSG00000005513	170	206	282	139	212	312
ENSG00000005700	264	423	265	273	317	420
ENSG00000005801	169	208	139	133	124	165
ENSG00000005810	2013	1983	1802	921	940	1399
ENSG00000005812	509	673	491	519	591	693
ENSG00000005844	3	3	5	7	7	22
ENSG00000005882	955	1041	989	382	639	824
ENSG00000005884	1379	2343	1929	1115	2582	2439
ENSG00000005889	322	476	389	425	395	568
ENSG00000005893	765	1117	1037	863	1067	1357
ENSG00000005961	11	13	11	12	8	15
ENSG00000005981	2	1	4	0	0	0
ENSG00000006007	776	1137	888	536	836	1079
ENSG00000006015	205	278	170	74	230	211
ENSG00000006016	898	797	873	375	430	780
ENSG00000006025	7	38	17	0	8	18
ENSG00000006042	515	868	509	337	649	827
ENSG00000006047	24	24	26	39	36	59
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	199	299	434	124	311	402
ENSG00000006071	3	3	2	3	2	2
ENSG00000006118	619	2152	1427	309	1332	1046
ENSG00000006125	4198	4355	3981	1991	2082	3410
ENSG00000006128	115	32	68	65	25	66
ENSG00000006194	391	528	471	260	594	565
ENSG00000006210	12	24	18	2	19	22
ENSG00000006282	229	414	294	111	326	269
ENSG00000006283	93	144	154	109	192	311
ENSG00000006327	335	313	305	149	252	293
ENSG00000006377	4	6	5	9	5	15
ENSG00000006432	130	122	189	67	176	166
ENSG00000006451	1158	1283	1020	875	993	1173
ENSG00000006453	543	742	754	210	334	469
ENSG00000006459	455	499	407	297	203	387
ENSG00000006468	233	363	211	79	160	121
ENSG00000006530	118	212	120	118	179	304
ENSG00000006534	109	300	146	57	285	191
ENSG00000006555	11	9	12	6	24	21
ENSG00000006576	945	885	614	561	405	672
ENSG00000006606	0	0	0	0	0	3
ENSG00000006607	274	518	454	219	491	616
ENSG00000006611	0	3	1	1	2	5
ENSG00000006625	368	473	401	328	508	570
ENSG00000006634	344	362	262	277	253	335
ENSG00000006638	17	9	1	0	7	2
ENSG00000006652	1648	1362	1330	969	850	1097
ENSG00000006659	0	1	1	0	0	1
ENSG00000006695	459	581	530	416	530	778
ENSG00000006704	194	380	299	273	588	497
ENSG00000006712	853	1234	1116	599	1576	1386
ENSG00000006715	594	723	542	415	490	589
ENSG00000006740	180	216	168	133	204	300
ENSG00000006744	722	1100	946	799	1404	1625
ENSG00000006747	24	15	12	10	11	17
ENSG00000006756	197	326	316	130	208	227
ENSG00000006757	79	63	74	43	80	80
ENSG00000006788	1	1	0	0	0	0
ENSG00000006831	732	886	814	436	718	780
ENSG00000006837	67	53	26	41	28	59
ENSG00000007001	0	0	0	0	2	0
ENSG00000007038	2	2	2	1	0	2
ENSG00000007047	1136	1722	1555	662	1668	1652
ENSG00000007062	1	0	1	3	9	0
ENSG00000007080	592	832	808	413	1294	1023
ENSG00000007129	1	0	0	0	0	0
ENSG00000007168	1119	1752	1455	944	1790	2020
ENSG00000007171	0	3	3	3	3	4
ENSG00000007174	0	3	4	0	1	3
ENSG00000007202	3964	5159	4779	1969	3393	4227
ENSG00000007216	0	0	1	0	0	0
ENSG00000007237	772	821	771	241	398	446
ENSG00000007255	128	98	92	34	90	84
ENSG00000007264	19	34	29	16	34	53
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	1	14	17	0	9	10
ENSG00000007314	16	4	13	0	2	4
ENSG00000007341	151	268	146	186	182	223
ENSG00000007350	0	0	0	0	0	0
ENSG00000007372	14	10	26	12	9	44
ENSG00000007376	410	732	742	340	1108	1064
ENSG00000007384	615	764	895	281	567	686
ENSG00000007392	124	257	183	149	308	271
ENSG00000007402	15	9	36	30	34	60
ENSG00000007516	64	77	124	28	59	167
ENSG00000007520	536	757	737	298	927	917
ENSG00000007541	96	226	237	85	146	200
ENSG00000007545	625	978	931	503	911	1281
ENSG00000007908	0	8	5	0	4	3
ENSG00000007923	1078	1565	1524	868	1691	1993
ENSG00000007933	1	3	0	0	0	2
ENSG00000007944	305	580	379	137	278	306
ENSG00000007952	0	1	2	0	3	2
ENSG00000007968	86	179	132	73	208	245
ENSG00000008018	1031	1556	1311	660	1262	1320
ENSG00000008056	114	94	207	41	79	123
ENSG00000008083	622	729	707	296	446	508
ENSG00000008086	243	308	178	182	170	304
ENSG00000008118	1	4	0	0	0	0
ENSG00000008128	459	660	609	347	888	846
ENSG00000008130	775	1373	1164	565	1282	1515
ENSG00000008196	0	0	0	0	1	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	1	8	8	0	3	0
ENSG00000008256	562	822	716	328	522	714
ENSG00000008277	16	24	20	19	19	34
ENSG00000008282	105	112	200	0	32	115
ENSG00000008283	816	974	769	644	878	1102
ENSG00000008294	1050	1451	1231	632	1134	1260
ENSG00000008300	121	223	305	64	172	255
ENSG00000008311	80	115	90	53	37	72
ENSG00000008323	173	142	154	115	253	280
ENSG00000008324	15	9	12	11	18	12
ENSG00000008382	108	121	123	16	76	47
