Geneid,LT34,LT35,LT36,LT46,LT47,LT48
ENSG00000000003,256,249,267,149,196,219
ENSG00000000419,305,435,342,273,301,374
ENSG00000000457,204,266,255,171,187,275
ENSG00000000460,122,182,144,107,170,217
ENSG00000000938,5,12,10,0,13,10
ENSG00000000971,18,104,31,5,46,22
ENSG00000001036,1038,1281,1164,1010,1288,1499
ENSG00000001084,349,431,324,305,363,445
ENSG00000001167,179,303,229,152,267,274
ENSG00000001460,305,294,294,117,134,244
ENSG00000001461,455,484,362,186,240,296
ENSG00000001497,406,601,526,352,777,788
ENSG00000001561,84,103,88,69,60,89
ENSG00000001617,184,321,400,149,260,422
ENSG00000001626,0,2,0,0,0,0
ENSG00000001629,1011,1484,994,919,932,1358
ENSG00000001630,329,475,284,222,567,394
ENSG00000001631,346,415,300,227,262,345
ENSG00000002016,72,155,92,108,131,166
ENSG00000002330,684,946,750,423,945,878
ENSG00000002549,780,1587,988,538,1097,1111
ENSG00000002586,3500,4973,3921,1382,3038,3106
ENSG00000002587,6,9,9,1,0,1
ENSG00000002726,1,0,0,0,0,0
ENSG00000002745,1,6,4,3,1,0
ENSG00000002746,64,83,66,22,54,45
ENSG00000002822,463,604,718,310,869,1044
ENSG00000002834,6598,6514,6059,2955,5013,6340
ENSG00000002919,668,806,702,466,801,934
ENSG00000002933,45,179,11,23,75,14
ENSG00000003056,921,1996,1723,1337,3230,3554
ENSG00000003096,69,89,82,49,57,93
ENSG00000003137,44,129,179,30,130,225
ENSG00000003147,49,24,22,26,22,54
ENSG00000003249,752,681,597,327,577,661
ENSG00000003393,867,1011,896,553,732,1081
ENSG00000003400,23,57,25,8,17,10
ENSG00000003402,336,919,497,145,561,452
ENSG00000003436,182,431,209,63,192,151
ENSG00000003509,99,113,131,61,70,95
ENSG00000003756,725,1121,916,573,865,1217
ENSG00000003987,0,2,0,0,0,0
ENSG00000003989,200,187,219,168,88,269
ENSG00000004059,1076,1261,1244,548,1015,1229
ENSG00000004139,180,323,203,95,302,286
ENSG00000004142,1540,1996,1991,929,1898,2209
ENSG00000004399,1615,2918,2396,1025,2926,2699
ENSG00000004455,1145,1437,1262,610,1101,1241
ENSG00000004468,35,225,66,2,90,31
ENSG00000004478,3485,4379,4347,3375,5232,6324
ENSG00000004487,630,1069,663,566,936,1124
ENSG00000004534,441,621,395,453,657,773
ENSG00000004660,291,378,252,253,414,437
ENSG00000004700,482,652,496,424,518,651
ENSG00000004766,176,177,170,156,173,203
ENSG00000004776,39,102,54,12,154,51
ENSG00000004777,75,124,96,21,77,84
ENSG00000004779,408,732,595,362,823,754
ENSG00000004799,44,54,62,26,30,39
ENSG00000004809,14,10,5,6,8,12
ENSG00000004838,10,8,7,4,9,8
ENSG00000004846,1,0,2,1,0,0
ENSG00000004848,2,5,7,20,7,27
ENSG00000004864,548,781,757,427,474,883
ENSG00000004866,377,470,373,338,410,600
ENSG00000004897,689,1038,744,650,782,1081
ENSG00000004939,1,2,2,0,0,5
ENSG00000004948,6,3,0,8,1,8
ENSG00000004961,302,440,390,289,538,561
ENSG00000004975,506,825,774,386,936,885
ENSG00000005001,11,12,17,1,4,6
ENSG00000005007,2536,3412,4190,1486,3351,4207
ENSG00000005020,257,426,204,259,332,324
ENSG00000005022,2934,4065,3894,1386,3182,3706
ENSG00000005059,200,329,244,173,217,276
ENSG00000005073,100,178,127,175,341,268
ENSG00000005075,286,433,393,139,463,538
ENSG00000005100,346,573,413,438,553,885
ENSG00000005102,5,10,4,0,8,3
ENSG00000005108,5,2,3,1,1,2
ENSG00000005156,498,575,753,265,353,554
ENSG00000005175,214,298,174,208,165,229
ENSG00000005187,2,3,2,1,1,0
ENSG00000005189,37,54,59,25,53,62
ENSG00000005194,517,830,801,396,681,840
ENSG00000005206,344,371,396,210,453,535
ENSG00000005238,987,1273,1081,456,1080,1002
ENSG00000005243,92,182,92,73,126,160
ENSG00000005249,68,104,72,42,78,69
ENSG00000005302,290,327,281,219,260,279
ENSG00000005339,3725,4809,4785,3436,6264,7282
ENSG00000005379,52,93,83,45,78,104
ENSG00000005381,2,2,6,0,4,5
ENSG00000005421,0,0,0,0,0,1
ENSG00000005436,140,164,102,138,123,169
ENSG00000005448,130,272,215,69,201,171
ENSG00000005469,101,121,103,79,75,85
ENSG00000005471,17,10,23,8,9,14
ENSG00000005483,434,814,446,378,749,792
ENSG00000005486,1206,1310,1332,506,1189,1245
