Geneid,LT34,LT35,LT36,LT46,LT47,L48
ENSG00000281764.1,0,0,0,0,0,0
ENSG00000281299.1,0,0,0,0,0,0
ENSG00000281518.2,0,0,0,0,0,0
ENSG00000281876.1,0,0,0,0,0,0
ENSG00000281316.1,0,0,0,0,0,0
ENSG00000281877.2,0,0,0,0,0,0
ENSG00000280948.1,0,0,0,0,0,0
ENSG00000281092.1,0,0,0,0,0,0
ENSG00000280876.1,0,0,0,0,0,0
ENSG00000281679.1,0,0,0,0,0,0
ENSG00000280806.1,0,0,0,0,0,0
ENSG00000280926.1,0,0,0,0,0,0
ENSG00000281805.1,0,0,0,0,0,0
ENSG00000281917.2,0,0,0,0,0,0
ENSG00000280751.1,0,0,0,0,0,0
ENSG00000281626.2,0,0,0,0,0,0
ENSG00000280781.1,0,0,0,0,0,0
ENSG00000281707.1,0,0,0,0,0,0
ENSG00000281894.2,0,0,0,0,0,0
ENSG00000281456.1,0,0,0,0,0,0
ENSG00000280661.2,0,0,0,0,0,0
ENSG00000280795.1,0,0,0,0,0,0
ENSG00000281709.2,0,0,0,0,0,0
ENSG00000280907.1,0,0,0,0,0,0
ENSG00000281504.1,0,0,0,0,0,0
ENSG00000281306.2,0,0,0,0,0,0
ENSG00000281102.1,0,0,0,0,0,0
ENSG00000280872.1,0,0,0,0,0,0
ENSG00000281448.2,0,0,0,0,0,0
ENSG00000281661.2,0,0,0,0,0,0
ENSG00000281665.1,0,0,0,0,0,0
ENSG00000280610.2,0,0,0,0,0,0
ENSG00000281495.1,0,0,0,0,0,0
ENSG00000280516.1,0,0,0,0,0,0
ENSG00000281762.1,0,0,0,0,0,0
ENSG00000281886.2,0,0,0,0,0,0
ENSG00000280701.1,0,0,0,0,0,0
ENSG00000281198.1,0,0,0,0,0,0
ENSG00000252303.2,0,0,0,0,0,0
ENSG00000281771.1,0,0,0,0,0,0
ENSG00000280584.2,0,0,0,0,0,0
ENSG00000280820.1,0,0,0,0,0,0
ENSG00000281879.1,0,0,0,0,0,0
ENSG00000280632.1,0,0,0,0,0,0
ENSG00000281430.1,0,0,0,0,0,0
ENSG00000281309.1,0,0,0,0,0,0
ENSG00000281393.1,0,0,0,0,0,0
ENSG00000281022.2,0,0,0,0,0,0
ENSG00000281699.1,0,0,0,0,0,0
ENSG00000280858.2,0,0,0,0,0,0
ENSG00000280889.1,0,0,0,0,0,0
ENSG00000281243.1,0,0,0,0,0,0
ENSG00000281907.1,0,0,0,0,0,0
ENSG00000281541.1,0,0,0,0,0,0
ENSG00000280627.2,0,0,0,0,0,0
ENSG00000280812.1,0,0,0,0,0,0
ENSG00000281024.2,0,0,0,0,0,0
ENSG00000280951.2,0,0,0,0,0,0
ENSG00000281245.1,0,0,0,0,0,0
ENSG00000280706.2,0,0,0,0,0,0
ENSG00000281244.2,0,0,0,0,0,0
ENSG00000280479.2,0,0,0,0,0,0
ENSG00000281165.2,0,0,0,0,0,0
ENSG00000281256.1,0,0,0,0,0,0
ENSG00000281813.2,0,0,0,0,0,0
ENSG00000281770.1,0,0,0,0,0,0
ENSG00000281086.1,0,0,0,0,0,0
ENSG00000281660.1,0,0,0,0,0,0
ENSG00000281277.2,0,0,0,0,0,0
ENSG00000281029.1,0,0,0,0,0,0
ENSG00000281705.1,0,0,0,0,0,0
ENSG00000280975.2,0,0,0,0,0,0
ENSG00000281913.1,0,0,0,0,0,0
ENSG00000280582.1,0,0,0,0,0,0
ENSG00000281697.1,0,0,0,0,0,0
ENSG00000280831.2,0,0,0,0,0,0
ENSG00000280495.2,0,0,0,0,0,0
ENSG00000281481.1,0,0,0,0,0,0
ENSG00000281500.1,0,0,0,0,0,0
ENSG00000281860.1,0,0,0,0,0,0
ENSG00000280682.2,0,0,0,0,0,0
ENSG00000281163.1,0,0,0,0,0,0
ENSG00000280967.1,0,0,0,0,0,0
ENSG00000280616.2,0,0,0,0,0,0
ENSG00000280774.1,0,0,0,0,0,0
ENSG00000281677.1,0,0,0,0,0,0
ENSG00000281320.2,0,0,0,0,0,0
ENSG00000281403.1,0,0,0,0,0,0
ENSG00000280548.2,0,0,0,0,0,0
ENSG00000281123.1,0,0,0,0,0,0
ENSG00000280932.1,0,0,0,0,0,0
ENSG00000281221.2,0,0,0,0,0,0
ENSG00000281526.2,0,0,0,0,0,0
ENSG00000280664.1,0,0,0,0,0,0
ENSG00000281233.1,0,0,0,0,0,0
ENSG00000281601.2,0,0,0,0,0,0
ENSG00000281009.1,0,0,0,0,0,0
ENSG00000280568.2,0,0,0,0,0,0
ENSG00000280797.1,0,0,0,0,0,0
ENSG00000281013.2,0,0,0,0,0,0
ENSG00000281750.1,0,0,0,0,0,0
ENSG00000280714.1,0,0,0,0,0,0
ENSG00000280705.1,0,0,0,0,0,0
ENSG00000281908.1,0,0,0,0,0,0
ENSG00000281757.2,0,0,0,0,0,0
ENSG00000281004.1,0,0,0,0,0,0
ENSG00000280905.2,0,0,0,0,0,0
ENSG00000281053.1,0,0,0,0,0,0
ENSG00000281266.1,0,0,0,0,0,0
ENSG00000281465.2,0,0,0,0,0,0
ENSG00000281387.1,0,0,0,0,0,0
ENSG00000281478.2,0,0,0,0,0,0
ENSG00000281436.1,0,0,0,0,0,0
ENSG00000281211.1,0,0,0,0,0,0
ENSG00000280963.2,0,0,0,0,0,0
ENSG00000281230.2,0,0,0,0,0,0
ENSG00000281067.1,0,0,0,0,0,0
ENSG00000281552.1,0,0,0,0,0,0
ENSG00000280680.2,0,0,0,0,0,0
ENSG00000281499.1,0,0,0,0,0,0
ENSG00000280937.1,0,0,0,0,0,0
ENSG00000281132.1,0,0,0,0,0,0
ENSG00000281226.1,0,0,0,0,0,0
ENSG00000281459.1,0,0,0,0,0,0
ENSG00000280549.1,0,0,0,0,0,0
ENSG00000281810.1,0,0,0,0,0,0
ENSG00000280908.2,0,0,0,0,0,0
ENSG00000281835.1,0,0,0,0,0,0
ENSG00000280949.1,0,0,0,0,0,0
ENSG00000281391.1,0,0,0,0,0,0
ENSG00000281540.2,0,0,0,0,0,0
ENSG00000281885.1,0,0,0,0,0,0
ENSG00000280792.1,0,0,0,0,0,0
ENSG00000281384.1,0,0,0,0,0,0
ENSG00000281614.2,0,0,0,0,0,0
ENSG00000280669.1,0,0,0,0,0,0
ENSG00000281089.2,0,0,0,0,0,0
ENSG00000280652.1,0,0,0,0,0,0
ENSG00000281388.1,0,0,0,0,0,0
ENSG00000281857.2,0,0,0,0,0,0
ENSG00000280928.1,0,0,0,0,0,0
ENSG00000281623.1,0,0,0,0,0,0
ENSG00000281766.1,0,0,0,0,0,0
ENSG00000280864.1,0,0,0,0,0,0
ENSG00000281822.1,0,0,0,0,0,0
ENSG00000280505.1,0,0,0,0,0,0
ENSG00000280775.1,0,0,0,0,0,0
ENSG00000281118.1,0,0,0,0,0,0
ENSG00000280931.1,0,0,0,0,0,0
ENSG00000280808.1,0,0,0,0,0,0
ENSG00000281056.1,0,0,0,0,0,0
ENSG00000281563.1,0,0,0,0,0,0
ENSG00000280899.1,0,0,0,0,0,0
ENSG00000281716.1,0,0,0,0,0,0
ENSG00000281680.1,0,0,0,0,0,0
ENSG00000281166.1,0,0,0,0,0,0
ENSG00000281449.2,0,0,0,0,0,0
ENSG00000281442.1,0,0,0,0,0,0
ENSG00000281324.2,0,0,0,0,0,0
ENSG00000280475.1,0,0,0,0,0,0
ENSG00000206783.2,0,0,0,0,0,0
ENSG00000281874.1,0,0,0,0,0,0
ENSG00000207477.2,0,0,0,0,0,0
ENSG00000281818.2,0,0,0,0,0,0
ENSG00000281051.1,0,0,0,0,0,0
ENSG00000281234.1,0,0,0,0,0,0
ENSG00000280689.2,0,0,0,0,0,0
ENSG00000281168.1,0,0,0,0,0,0
ENSG00000280962.2,0,0,0,0,0,0
ENSG00000281671.1,0,0,0,0,0,0
ENSG00000281525.1,0,0,0,0,0,0
ENSG00000280651.1,0,0,0,0,0,0
ENSG00000281840.1,0,0,0,0,0,0
