"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMeanCtrl","baseMeansiRNA","symbol","entrez","log10.pvalue","Significant.Gene","Differential_Gene"
"ENSG00000000003",231.849877962964,-0.252296115501629,0.259485729830623,0.125863249023836,0.410836015124075,253.810087706316,209.889668219612,"TSPAN6","7105",0.38633149184191,"No","No"
"ENSG00000000419",54.851944045377,0.0207545673792201,0.250635339615279,0.856349255631746,0.947618461883641,60.1203197699553,49.5835683207986,"DPM1","8813",0.0233664867672479,"No","No"
"ENSG00000000457",274.653491073441,-0.191647240497714,0.226050865323974,0.214836209193245,0.529480195248499,269.992867759514,279.314114387369,"SCYL3","57147",0.276150279664426,"No","No"
"ENSG00000000460",161.493260245838,0.0250310976144225,0.218510474930346,0.857080935517585,0.947748490591597,141.511158876698,181.475361614978,"C1orf112","55732",0.0233068985694384,"No","No"
"ENSG00000000938",8.52641333794692,0.0740573259821583,0.290880181524208,0.0985014137332151,NA,9.00929146473188,8.04353521116196,"FGR","2268",NA,"No","No"
"ENSG00000000971",36.5654729897118,1.63358673798149,0.839655134755536,0.00170143573458587,0.0262881403547717,47.917139400177,25.2138065792466,"CFH","3075",1.58024013516509,"Yes","Up-Regulated"
"ENSG00000001036",1250.86600724505,-0.190109877080656,0.173551147055735,0.17123355481885,0.475777230303557,1107.286344474,1394.44567001611,"FUCA2","2519",0.32259634622087,"No","No"
"ENSG00000001084",393.680485298318,-0.176802154083375,0.20803364439005,0.237169469466161,0.555044000106115,364.008255034516,423.35271556212,"GCLC","2729",0.255672587605517,"No","No"
"ENSG00000001167",235.38045249796,0.101182898744708,0.214214955973513,0.484725803557979,0.765461342591944,224.211303601945,246.549601393975,"NFYA","4800",0.116076737196848,"No","No"
"ENSG00000001460",238.889366283817,-0.3169491177581,0.279503298446809,0.072109160272762,0.306327454771936,293.825137086626,183.953595481007,"STPG1","90529",0.513814077559687,"No","No"
"ENSG00000001461",392.887761315367,-0.157672811341047,0.202317773585042,0.284427643513211,0.603309151060239,453.423920161333,332.351602469401,"NIPAL3","57185",0.219460087206678,"No","No"
"ENSG00000001497",319.0039622224,0.17214593783866,0.22038527698295,0.257108821993731,0.576358890051318,296.342658426721,341.66526601808,"LAS1L","81887",0.239307003674458,"No","No"
"ENSG00000001561",86.6657652428651,-0.161191931307378,0.282992981053259,0.239440748438717,0.557166654901002,89.6717738170321,83.6597566686981,"ENPP4","22875",0.254014882962053,"No","No"
"ENSG00000001617",285.320187335765,0.0990971324816818,0.209753707664979,0.492981082464018,0.771435094817886,284.852018341017,285.788356330513,"SEMA3F","6405",0.112700607706098,"No","No"
"ENSG00000001626",0.851159383936126,0.0115233666955202,0.280132282591442,0.468486191788746,NA,0.802843962481803,0.899474805390448,"CFTR","1080",NA,"No","No"
"ENSG00000001629",1172.12856964021,-0.204080522244906,0.198454457928017,0.166619361039235,0.469243447482375,1126.64304807346,1217.61409120697,"ANKIB1","54467",0.328601783154385,"No","No"
"ENSG00000001630",2055.43854786786,-0.227568303262594,0.164403624845795,0.093911013915942,0.3528600922039,2230.98870383802,1879.88839189769,"CYP51A1","1595",0.452397456731239,"No","No"
"ENSG00000001631",170.380499135703,-0.0361088707361649,0.229135282153711,0.778107680462186,0.917979674627837,171.77493308632,168.986065185085,"KRIT1","889",0.0371669345881864,"No","No"
"ENSG00000002016",134.999865279909,0.0341357962415583,0.232833734739954,0.796746277972784,0.926064338111633,107.573902603936,162.425827955881,"RAD52","5893",0.0333588397584386,"No","No"
"ENSG00000002330",183.805087148246,0.273742323627946,0.286707636246859,0.106950888901695,0.378183837741803,165.505667010065,202.104507286427,"BAD","572",0.422297035325817,"No","No"
