Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,baseMeanCtrl,baseMeansiRNA,symbol,entrez,log10.pvalue,Significant.Gene,Differential_Gene
ENSG00000000971,36.56547299,1.633586738,0.839655135,0.001701436,0.02628814,47.9171394,25.21380658,CFH,3075,1.580240135,Yes,Up-Regulated
ENSG00000004468,70.50342531,2.366511566,0.611169848,4.75E-06,0.00020432,101.3636416,39.64320901,CD38,952,3.689689079,Yes,Up-Regulated
ENSG00000004776,68.5107776,1.351298049,0.646101692,0.00119757,0.020215277,61.76587477,75.25568042,HSPB6,126393,1.694320303,Yes,Up-Regulated
ENSG00000006118,1053.649198,1.313865613,0.197131877,1.81E-12,2.90E-10,1242.319662,864.978734,TMEM132A,54972,9.536959051,Yes,Up-Regulated
ENSG00000006128,65.59639344,-1.936948249,0.551283097,1.92E-05,0.000694363,71.02384531,60.16894156,TAC1,6863,3.158413543,Yes,Down-Regulated
ENSG00000006534,168.1828909,1.089146183,0.375484593,0.000217637,0.005587982,164.8662658,171.4995161,ALDH3B1,221,2.252744982,Yes,Up-Regulated
ENSG00000010030,56.14251811,2.401712435,0.643672425,7.96E-06,0.000325382,73.90946396,38.37557227,ETV7,51513,3.487606199,Yes,Up-Regulated
ENSG00000011405,1358.076937,-1.089368986,0.216491016,3.20E-08,2.44E-06,1491.666053,1224.48782,PIK3C2A,5286,5.613235056,Yes,Down-Regulated
ENSG00000011422,252.537199,1.509678205,0.370501543,1.90E-06,9.41E-05,253.5723057,251.5020924,PLAUR,5329,4.026270151,Yes,Up-Regulated
ENSG00000011465,757.3496751,1.16525764,0.212097156,2.90E-09,2.84E-07,1123.022346,391.6770048,DCN,1634,6.54680725,Yes,Up-Regulated
ENSG00000013364,716.3042147,2.107655528,0.302971841,6.84E-14,1.43E-11,745.46558,687.1428494,MVP,9961,10.84437213,Yes,Up-Regulated
ENSG00000014914,50.38865986,1.472353632,0.7110348,0.001381789,0.022504209,64.96947786,35.80784186,MTMR11,10903,1.647736251,Yes,Up-Regulated
