"","logFC","logCPM","PValue","Significant.Gene","Differential_Gene"
"ENSG00000013725",-1.21886674311465,8.29344618907385,1.40472748005069e-06,"Yes","Down-Regulated"
"ENSG00000041982",1.52709621610235,6.93788706687247,0.00178302685688674,"Yes","Up-Regulated"
"ENSG00000050165",1.22258145548003,8.28504372230118,3.77564956670144e-08,"Yes","Up-Regulated"
"ENSG00000050748",-1.26963519925025,8.79098763609553,4.1495335906302e-08,"Yes","Down-Regulated"
"ENSG00000052802",1.29215558880708,7.46516242989561,0.00160329749838942,"Yes","Up-Regulated"
"ENSG00000073756",1.62544672794868,6.80689138581395,0.00330701584379934,"Yes","Up-Regulated"
"ENSG00000088387",1.03053685406191,7.01249203540143,0.00192050211757014,"Yes","Up-Regulated"
"ENSG00000100285",-1.34426457429985,7.30146767542677,2.39423943135064e-07,"Yes","Down-Regulated"
"ENSG00000100353",2.10253014584603,7.3507820574827,1.53568896262343e-22,"Yes","Up-Regulated"
"ENSG00000104549",1.00457968513444,7.40585237232174,0.000102421694418842,"Yes","Up-Regulated"
"ENSG00000104765",1.31860904239412,6.82980096121503,7.70735167704015e-06,"Yes","Up-Regulated"
"ENSG00000105722",-1.18122630695766,7.64006527487799,5.88567395051197e-07,"Yes","Down-Regulated"
"ENSG00000105825",1.68872609581405,7.74918208682255,0.00287321366779124,"Yes","Up-Regulated"
"ENSG00000106333",1.10669582446166,7.23201692200228,0.000444460288052626,"Yes","Up-Regulated"
"ENSG00000108691",1.51346063676635,7.28839117346232,0.0152215950100464,"Yes","Up-Regulated"
"ENSG00000110651",2.14349473147691,6.4292648822352,0.0150577212112851,"Yes","Up-Regulated"
"ENSG00000111252",1.21436189416944,8.05977848448653,1.43293471407152e-08,"Yes","Up-Regulated"
"ENSG00000111331",1.03318578641249,7.64828284621662,0.0267869163758155,"Yes","Up-Regulated"
"ENSG00000112972",1.59810254145934,7.3804413503601,1.3375081800824e-06,"Yes","Up-Regulated"
"ENSG00000113161",1.21702934959834,7.7065182456765,0.000108497677231439,"Yes","Up-Regulated"
"ENSG00000115457",1.04577053236391,7.3539710261349,4.14755606520201e-05,"Yes","Up-Regulated"
"ENSG00000115594",1.13963712874536,7.64277302702448,0.00431695187561259,"Yes","Up-Regulated"
"ENSG00000116133",1.07075735006432,9.31830931134665,2.77297767133407e-06,"Yes","Up-Regulated"
"ENSG00000116285",1.0483517062904,7.02661971110183,0.0009204237406519,"Yes","Up-Regulated"
"ENSG00000116521",-1.08966459736701,7.06842718601573,6.25418532865479e-06,"Yes","Down-Regulated"
"ENSG00000118680",1.56701324980276,7.11729093614391,0.000268434409780763,"Yes","Up-Regulated"
