"","genes","logFC","logCPM","F","PValue","log10.pvalue","Significant.Gene","Differential_Gene"
"6","ENSG00000000971",-1.04099197664395,2.0308597144766,9.80540546608278,0.0141310164202276,1.8498265989568,"Yes","Down-Regulated"
"45","ENSG00000004468",-1.62904644307276,2.93971486755198,23.0454728884899,0.00138597892078488,2.85824337481543,"Yes","Down-Regulated"
"58","ENSG00000004848",1.96723444935604,0.432071923167893,9.63264057459174,0.0147327848774054,1.83171515250744,"Yes","Up-Regulated"
"64","ENSG00000005001",-2.26051989761827,-0.291399290737837,7.39067636418054,0.0265055830002706,1.57666263886197,"Yes","Down-Regulated"
"69","ENSG00000005073",1.02292079450346,4.49635011024045,28.2272800761394,0.000736682891619771,3.1327194158807,"Yes","Up-Regulated"
"74","ENSG00000005189",-1.2341609548377,1.70253427581736,10.2618559348616,0.0126838285413082,1.89674963735348,"Yes","Down-Regulated"
"94","ENSG00000005844",1.63693625233249,-0.0525569502844245,8.89943213001674,0.0176778792278131,1.75256983745097,"Yes","Up-Regulated"
"120","ENSG00000006468",-1.08148072438805,4.27487368829943,32.3577200325639,0.000474440898881266,3.32381787994556,"Yes","Down-Regulated"
"144","ENSG00000007237",-1.06833550866969,5.8408301654521,56.2301340419949,7.24024131912297e-05,4.14024695841378,"Yes","Down-Regulated"
"148","ENSG00000007314",-2.30821654610774,-0.247258247480806,8.13127692795586,0.0216088202397052,1.66536894331446,"Yes","Down-Regulated"
"154","ENSG00000007402",1.23867676862007,1.69865772416638,9.35933797780701,0.0157523669851828,1.80265417893042,"Yes","Up-Regulated"
"170","ENSG00000008282",-2.12385682218097,3.19258955101519,10.0039368595765,0.0134772604136991,1.8703983799173,"Yes","Down-Regulated"
"177","ENSG00000008382",-1.44322910655557,3.03272631552281,18.3529097258782,0.00272388165622123,2.56481176502892,"Yes","Down-Regulated"
"182","ENSG00000008516",1.0853483642823,2.29847574499372,11.9319714617157,0.00874976465286463,2.05800362827332,"Yes","Up-Regulated"
"200","ENSG00000010030",-1.25417186102812,2.6126173559995,17.1470313488558,0.00330768937830551,2.48047528135102,"Yes","Down-Regulated"
"217","ENSG00000010704",-1.70851904709343,1.00328370925324,15.7073949956472,0.00422684755206047,2.37398341540562,"Yes","Down-Regulated"
"238","ENSG00000011332",1.1814235956329,4.28137456744191,26.8467264587899,0.000863409164449376,3.06378334594073,"Yes","Up-Regulated"
"246","ENSG00000011465",-1.5873390215145,6.30043729854591,107.678173508867,6.8369753223636e-06,5.165135987656,"Yes","Down-Regulated"
"251","ENSG00000011590",-1.94275616696366,0.0645096734957056,11.7112348034176,0.00917148118068955,2.03756052074722,"Yes","Down-Regulated"
"264","ENSG00000013016",-1.30077297222441,5.75094179685573,72.3679717554543,2.94062354967865e-05,4.53156056908749,"Yes","Down-Regulated"
"281","ENSG00000013588",-1.3897672200914,4.56936694373616,33.7232322347324,0.000414395735400074,3.38258472262032,"Yes","Down-Regulated"
"282","ENSG00000013619",-1.09358828528271,5.28070042380936,38.644729651264,0.000263563563225225,3.57911462967742,"Yes","Down-Regulated"
"283","ENSG00000013725",1.17125481419425,7.78274972538169,37.0938003381412,0.000302291948264278,3.51957342037416,"Yes","Up-Regulated"
"292","ENSG00000014914",-1.04592211559737,2.45941324496677,11.5500637605628,0.00949565511486693,2.02247506747703,"Yes","Down-Regulated"
"318","ENSG00000019186",-2.44214934550145,2.49464636354892,51.1974511439227,0.000100586523842404,3.99746020032302,"Yes","Down-Regulated"
"330","ENSG00000020633",1.30917654752833,1.50688617319667,7.12924216857231,0.0285654817964604,1.54415844656301,"Yes","Up-Regulated"
"332","ENSG00000021300",-1.76861256302935,0.263675400056244,7.11944962509044,0.0286465161239634,1.54292818766304,"Yes","Down-Regulated"
"351","ENSG00000023445",-1.66598073737251,2.31938998944801,23.027640909126,0.00138925332654292,2.85721855463076,"Yes","Down-Regulated"
"361","ENSG00000024048",2.1521154214879,1.47346079014922,11.8498385250862,0.0109613570537065,1.96013567537241,"Yes","Up-Regulated"
"380","ENSG00000026652",-1.00780911344217,4.66051006157882,29.4488448925832,0.00064344739497266,3.19148695304391,"Yes","Down-Regulated"
"381","ENSG00000026950",-1.35771681891337,4.76016121643087,50.5982582237177,0.000104799081283567,3.97964252455865,"Yes","Down-Regulated"
"426","ENSG00000034239",-1.76755155939898,0.100922470782694,10.1974677879293,0.0128762638262557,1.89021013348431,"Yes","Down-Regulated"
"482","ENSG00000041982",-1.74507170902347,6.44275320972249,61.8343223264725,5.17083762421331e-05,4.28643909982518,"Yes","Down-Regulated"
"484","ENSG00000042062",-1.45527993364953,4.29880851852996,41.4530457240396,0.00020799765183532,3.68194156792531,"Yes","Down-Regulated"
"492","ENSG00000042832",-1.6668327595313,0.362147533823078,11.6951271459135,0.00920324647947011,2.03605894663145,"Yes","Down-Regulated"
"498","ENSG00000044012",-1.15815937886934,1.30546567060607,7.86955222271889,0.0231970131667873,1.63456793100092,"Yes","Down-Regulated"
