"","log2Expr.MLE","log2Expr.MLE.SE","log2AbsMod.MLE","log2AbsMod.MLE.SE","log2fcMod.MLE","log2fcMod.MLE.SE","log2fcMod.pvalue","log2fcMod.padj"
"peak_1",8.40489338255115,0.082338955351567,9.55764112890896,0.0500164513170069,1.15274774635781,0.0963397576439354,2.69549966810919e-33,7.22554525078757e-33
"peak_2",4.23026118062735,0.349904887748348,6.442163866417,0.147244445280741,2.21190268578965,0.379623954089221,2.82903457592092e-09,3.34463336893858e-09
"peak_3",4.95015331818176,0.272643712862079,7.34101716311553,0.107832089955063,2.39086384493376,0.293193366790446,1.75222032946142e-16,2.93931778268976e-16
"peak_4",5.04968900610872,0.263398852002558,7.56456052068767,0.0997933025454578,2.51487151457895,0.281669408536846,2.16007575181502e-19,3.99492920677374e-19
"peak_5",6.68195727508562,0.149600506411316,7.89612039333511,0.0889603868335142,1.21416311824949,0.174052466904736,1.52018353118697e-12,2.15023101348782e-12
"peak_6",6.20888762361744,0.176253249927802,7.48655802030043,0.102527871466212,1.27767039668299,0.203904809240191,1.85203480735703e-10,2.35148852659571e-10
"peak_7",6.87071893005261,0.140126929571685,8.09560614453486,0.0830177704684992,1.22488721448224,0.162872668251733,2.72793321360564e-14,4.18307244441343e-14
"peak_8",7.61853194254895,0.10813456534346,8.84304334562803,0.064072336019038,1.22451140307908,0.125691480510585,9.95982903934926e-23,2.04722431641037e-22
"peak_9",6.42820069960706,0.163353043468014,8.89886055553106,0.0628447830185001,2.470659855924,0.17502480721701,1.5122707187966e-45,5.1357899705014e-45
"peak_10",7.40958504301633,0.116255679646448,8.6020352453658,0.0696539727422514,1.19245020234947,0.135525122049555,6.91809165499683e-19,1.25664758746246e-18
"peak_11",9.24346089675684,0.0615727240533984,10.9440010976477,0.0309346287335516,1.70054020089091,0.0689068326635802,9.02568253895003e-135,7.9554616577412e-134
"peak_12",6.0969947442465,0.183222450796761,7.65161726542633,0.0968273508332976,1.55462252117983,0.207234169688306,3.14815340020833e-14,4.81094226461747e-14
"peak_13",6.37161713176429,0.166588073173184,7.51541288461799,0.101507668225099,1.14379575285371,0.195077911841046,2.2691066761429e-09,2.70039870348157e-09
"peak_14",6.63465156516911,0.152073409100763,8.18811828172483,0.0803982511279014,1.55346671655573,0.17201802214306,8.51818554735487e-20,1.5992951076443e-19
"peak_15",6.58574197139938,0.154673142267186,8.54019598743565,0.0711628982552563,1.95445401603627,0.170258446316997,8.37806022129984e-31,2.12534607151832e-30
"peak_16",6.71265407243908,0.14801738784619,7.84588609113768,0.0905227373945361,1.13323201869861,0.173503637921755,3.25658746509253e-11,4.30853393643866e-11
"peak_17",6.66636041655896,0.150411355311517,7.77009074034936,0.092932156550839,1.1037303237904,0.176804866296981,2.15113904824072e-10,2.72401596165449e-10
