"","RPKM.input","RPKM.IP"
"peak_1",0.000150321717855047,0.000103224028846749
"peak_2",3.0574853701789e-06,4.37482639740406e-06
"peak_3",2.43735539627438e-05,3.94809853922394e-05
"peak_4",2.61145221029398e-05,4.60979103183131e-05
"peak_5",0.000108421899802384,7.76897881945254e-05
"peak_6",0.000131225473567272,9.82613351521937e-05
"peak_7",6.23454806962076e-05,4.5007011884555e-05
"peak_8",0.000126774134572453,9.14940255687092e-05
"peak_9",3.05539908604396e-05,5.23067915406122e-05
"peak_10",0.000109680992832347,7.74180216350617e-05
"peak_11",0.000126501817363358,0.000126986573948913
"peak_12",6.93900158735257e-05,6.29553142966436e-05
"peak_13",0.000293788373658073,0.000200492825260032
"peak_14",1.2422341380891e-05,1.12613627177363e-05
"peak_15",0.000340794513443364,0.00040793342169244
"peak_16",0.000186065969983446,0.000126052419841703
"peak_17",6.00634008367615e-05,3.98669726795937e-05
"peak_18",0.000775601306457312,0.00050222460188899
"peak_19",1.11137049245652e-05,7.46852751729941e-06
"peak_20",0.000795970633697605,0.000532000764056321
"peak_21",3.39394511085138e-05,2.45148707775562e-05
"peak_22",9.36731826493924e-08,1.15708168881242e-07
"peak_23",0.000599328282262468,0.000598500859563361
"peak_24",1.6341751315962e-05,1.0919152999145e-05
"peak_25",5.58197909950338e-05,5.210828379283e-05
"peak_26",8.17774661789704e-07,6.51227026030684e-07
"peak_27",7.70005337435253e-05,8.03105631027453e-05
"peak_28",8.61779229397013e-05,5.18105221711567e-05
"peak_29",2.05408212457576e-06,1.91021903896191e-06
"peak_30",0.000123925277615769,0.000134624345314117
"peak_31",0.000111488921285628,9.21279547399485e-05
"peak_32",0.00068942338351761,0.000537625150243484
"peak_33",0.000438723971329388,0.000534978380273054
"peak_34",6.455888124334e-06,4.37749211683145e-06
"peak_35",2.46222636970575e-05,2.66567547021824e-05
"peak_36",8.30441802873485e-05,6.70956187503868e-05
"peak_37",0.000105763814516906,0.000134985268491902
"peak_38",4.56355762494078e-06,8.17005722824028e-06
"peak_39",8.61779229397013e-05,7.64254828961506e-05
"peak_40",3.4616924648083e-06,3.87782577062921e-06
"peak_41",4.17832353647037e-05,2.96438236688099e-05
"peak_42",6.65920313624965e-05,4.56567819899082e-05
"peak_43",0.000204215562844989,0.000169922632101571
"peak_44",0.000740702808737928,0.000982432889933044
"peak_45",0.000298824745777925,0.000211836125133301
"peak_46",7.10688065801433e-05,5.51567956337711e-05
"peak_47",4.16853473847752e-06,3.46821033291662e-06
"peak_48",7.59329950377788e-05,5.11539196208001e-05
"peak_49",8.08962938021311e-07,1.503156419645e-06
"peak_50",0.000191941737456607,0.000143918117142102
"peak_51",1.48852775986757e-05,3.57313946007977e-05
"peak_52",4.89647289430121e-06,1.63768891920323e-05
"peak_53",4.01473256467609e-05,2.73803790044427e-05
"peak_54",0.000568567909736882,0.000461048865678741
"peak_55",9.23334888639657e-06,7.58583179024872e-06
"peak_56",5.74519486264675e-05,4.71455900982747e-05
"peak_57",9.91093308726028e-05,8.79599257241115e-05
"peak_58",0.000166759876857344,0.000122649429879722
"peak_59",1.19302106594552e-05,1.382561752662e-05
"peak_60",0.000167132941458815,0.000121751418639755
