"","SRR7992451.sorted.bam","SRR7992456.sorted.bam"
"peak_1",120,69
"peak_2",661,437
"peak_3",110,41
"peak_4",41,11
"peak_5",178,56
"peak_6",78,19
"peak_7",54,25
"peak_8",201,49
"peak_9",439,258
"peak_10",320,152
"peak_11",185,119
"peak_12",399,203
"peak_13",70,27
"peak_14",96,52
"peak_15",60,27
"peak_16",449,97
"peak_17",484,253
"peak_18",2391,797
"peak_19",224,94
"peak_20",124,38
"peak_21",127,18
"peak_22",87,18
"peak_23",47,7
"peak_24",86,45
"peak_25",111,57
"peak_26",270,139
"peak_27",422,115
"peak_28",448,274
"peak_29",583,342
"peak_30",922,545
"peak_31",1252,653
"peak_32",216,124
"peak_33",812,472
"peak_34",596,351
"peak_35",893,567
"peak_36",503,254
"peak_37",1559,836
"peak_38",45,14
"peak_39",185,109
"peak_40",75,42
"peak_41",89,26
"peak_42",192,64
"peak_43",112,40
"peak_44",116,41
"peak_45",40,5
"peak_46",57,13
"peak_47",403,219
"peak_48",448,252
"peak_49",481,291
"peak_50",97,45
"peak_51",303,169
"peak_52",2419,905
"peak_53",224,138
"peak_54",179,111
"peak_55",819,330
"peak_56",818,359
"peak_57",429,170
"peak_58",1772,924
"peak_59",567,153
"peak_60",234,131
"peak_61",114,48
"peak_62",400,130
"peak_63",75,22
"peak_64",145,72
"peak_65",686,141
"peak_66",182,77
"peak_67",174,116
"peak_68",212,135
"peak_69",81,25
"peak_70",1387,611
"peak_71",5437,1318
"peak_72",804,434
"peak_73",345,169
"peak_74",225,98
"peak_75",420,254
"peak_76",68,10
"peak_77",571,278
"peak_78",240,46
"peak_79",121,68
"peak_80",435,273
"peak_81",19060,8383
"peak_82",51,14
"peak_83",184,96
"peak_84",155,48
"peak_85",68,36
"peak_86",159,78
"peak_87",262,96
"peak_88",1717,647
"peak_89",916,454
"peak_90",3092,1017
"peak_91",196,108
"peak_92",106,61
"peak_93",426,186
"peak_94",128,72
"peak_95",166,68
"peak_96",78,28
"peak_97",432,119
"peak_98",577,337
"peak_99",136,41
"peak_100",682,366
"peak_101",5130,3271
"peak_102",139,52
"peak_103",212,31
"peak_104",1235,672
"peak_105",939,269
"peak_106",254,114
"peak_107",256,98
"peak_108",237,85
"peak_109",141,81
"peak_110",292,187
"peak_111",116,90
"peak_112",513,248
"peak_113",1269,440
"peak_114",681,383
"peak_115",375,248
"peak_116",10095,2665
"peak_117",109,21
"peak_118",132,48
"peak_119",251,93
"peak_120",92,54
"peak_121",1989,531
"peak_122",102,61
"peak_123",78,22
"peak_124",41,8
"peak_125",110,13
"peak_126",42,2
"peak_127",338,122
"peak_128",567,277
"peak_129",89,41
"peak_130",433,192
"peak_131",194,83
"peak_132",287,140
"peak_133",389,92
"peak_134",218,28
"peak_135",2615,989
"peak_136",12594,2722
"peak_137",431,137
"peak_138",123,74
"peak_139",422,221
"peak_140",364,174
"peak_141",117,65
"peak_142",217,118
"peak_143",213,103
"peak_144",164,82
"peak_145",63,30
"peak_146",444,181
"peak_147",38,9
"peak_148",166,88
"peak_149",177,117
"peak_150",2851,827
"peak_151",198,84
"peak_152",60,28
"peak_153",187,111
"peak_154",297,208
"peak_155",235,158
"peak_156",499,202
"peak_157",715,201
"peak_158",759,261
"peak_159",161,92
"peak_160",36,5
"peak_161",1208,710
"peak_162",627,281
"peak_163",34,9
"peak_164",181,107
"peak_165",100,19
"peak_166",41,5
"peak_167",92,44
"peak_168",133,85
"peak_169",774,392
"peak_170",847,202
"peak_171",60,20
"peak_172",39,5
"peak_173",70,18
"peak_174",92,47
"peak_175",147,75
"peak_176",5588,1324
"peak_177",109,23
"peak_178",158,103
"peak_179",1697,710
"peak_180",167,71
"peak_181",119,24
"peak_182",104,32
"peak_183",55,20
"peak_184",2096,909
"peak_185",574,172
"peak_186",597,237
"peak_187",474,87
"peak_188",2409,779
"peak_189",3202,1613
"peak_190",1578,480
"peak_191",2621,913
"peak_192",1119,605
"peak_193",2482,954
"peak_194",122,82
"peak_195",107,58
"peak_196",145,48
"peak_197",5145,832
"peak_198",114,57
"peak_199",388,212
"peak_200",182,112
"peak_201",138,75
"peak_202",1778,292
"peak_203",312,179
"peak_204",3561,906
"peak_205",534,280
"peak_206",583,192
"peak_207",658,189
"peak_208",453,110
"peak_209",203,117
"peak_210",300,153
"peak_211",236,161
"peak_212",333,199
"peak_213",642,369
"peak_214",253,105
"peak_215",260,110
"peak_216",68,22
"peak_217",574,285
"peak_218",769,227
"peak_219",481,183
"peak_220",149,65
"peak_221",225,75
"peak_222",110,22
"peak_223",1417,388
"peak_224",63,35
"peak_225",218,139
"peak_226",2238,668
