"","log2Expr.MLE","log2Expr.MLE.SE","log2AbsMod.MLE","log2AbsMod.MLE.SE","log2fcMod.MLE","log2fcMod.MLE.SE","log2fcMod.pvalue","log2fcMod.padj"
"peak_1",5.19321466342141,0.247420147770909,6.62216837390823,0.140126928301991,1.42895371048683,0.284345354718925,2.51171135398425e-07,2.60041004787658e-07
"peak_2",6.15014601596016,0.177583482011841,7.35367955180753,0.108747229648909,1.20353353584737,0.208235087216332,3.74199608830688e-09,4.32973988518141e-09
"peak_3",4.91310676083903,0.272643715091239,6.94953035103562,0.125097524717767,2.03642359019659,0.299973301172121,5.65809664741839e-12,7.521723059272e-12
"peak_4",3.91310677474058,0.385576380396809,6.47921039248908,0.147244445672631,2.5661036177485,0.412734853154182,2.52862937321117e-10,3.10677497412244e-10
"peak_5",6.42768003848266,0.161298206811823,8.66573740624419,0.0690134629614089,2.23805736776154,0.175442210129068,1.43098276357706e-37,3.86311860571516e-37
"peak_6",5.74960809300802,0.204027882894663,7.91105621771993,0.0896447078160788,2.16144812471191,0.22285320123303,1.52267973288534e-22,2.93348459693841e-22
"peak_7",4.27567682950949,0.340046430019764,6.60849341882706,0.140792619030121,2.33281658931757,0.36804093111241,1.16028620438833e-10,1.45275768558274e-10
"peak_8",6.33457063591642,0.166588070984817,8.80713727295609,0.065712958397221,2.47256663703967,0.179080366920583,1.1559595842892e-43,3.45851963742335e-43
"peak_9",5.66034070775397,0.210438695567731,6.88293261413867,0.128018482354438,1.2225919063847,0.246319251203633,3.46269377566133e-07,3.5530288063579e-07
"peak_10",6.40953266662013,0.162315872516865,7.72713794953973,0.095544812677817,1.3176052829196,0.188348752951814,1.32099337636339e-12,1.79806276772436e-12
"peak_11",5.91310681989929,0.192788230173617,7.66243225547828,0.0977116372868222,1.749325435579,0.216136217083852,2.89574617158163e-16,4.57389728294554e-16
"peak_12",7.63713344094892,0.1060690491945,8.86003222697462,0.0645192834898438,1.22289878602571,0.124150638144691,3.4230812858532e-23,6.71018524947044e-23
"peak_13",5.53201667611109,0.220008919865892,8.35367954935601,0.0768959040400111,2.82166287324492,0.233059871564887,4.84704964512251e-34,1.21866485539552e-33
"peak_14",7.84721898277576,0.0986206026972604,9.91383867161709,0.0447791516939812,2.06661968884133,0.108310644097402,1.83417298680663e-81,8.83985707017207e-81
"peak_15",5.23503486083503,0.243859959051973,6.96033711106255,0.124629868578365,1.72530225022752,0.27386179009847,1.48917608089917e-10,1.85490381167106e-10
"peak_16",5.80619160649473,0.200065800940987,7.50895777343631,0.103049645329263,1.70276616694158,0.225045667384312,1.91981759416714e-14,2.82750037735804e-14
"peak_17",5.15014600219001,0.251140954073212,7.60849344070391,0.0995554158891115,2.45834743851389,0.270153765743083,4.52457684733075e-20,8.13665981259458e-20
"peak_18",4.86063932494516,0.277646769379573,6.73973796433811,0.134532005396163,1.87909863939296,0.308523229987672,5.62361123611152e-10,6.78248064833488e-10
"peak_19",7.11697921417868,0.127022215662439,8.4178098961028,0.0752056775449115,1.30083068192412,0.147616180826362,6.1329379938962e-19,1.0616884706723e-18
"peak_20",7.81999750483774,0.0995554163190902,9.0389061857527,0.0606409955353078,1.21890868091496,0.116570198216321,6.84552982592279e-26,1.44035313736643e-25
"peak_21",6.83367239593313,0.140126929589555,8.00277239536491,0.0868400362304787,1.16909999943178,0.164853716052763,6.62171861231879e-13,9.13360319008208e-13
"peak_22",6.96373294500393,0.133950871713878,8.20258696940844,0.0810298259806257,1.23885402440451,0.156552445717464,1.25278586692816e-15,1.93194559641775e-15
"peak_23",6.96373294084975,0.133950871906731,7.9710635366887,0.0877996237256539,1.00733059583895,0.160161198352381,1.59265941603525e-10,1.97899265880514e-10
