"","RPKM.input","RPKM.IP"
"peak_1",0.000121429048471262,9.60247432210042e-05
"peak_2",0.000235715211738332,0.000159437309499026
"peak_3",9.5238469389225e-06,1.14746548503087e-05
"peak_4",5.88237605051096e-06,1.02312711977984e-05
"peak_5",3.83099233263174e-06,5.30806640299878e-06
"peak_6",9.65254757323226e-06,1.26825132556043e-05
"peak_7",3.29671624808856e-06,4.87788971369397e-06
"peak_8",2.55103043006853e-05,4.15848393823217e-05
"peak_9",3.73017338441131e-05,2.55663362454246e-05
"peak_10",8.06125615901654e-05,5.90125106587303e-05
"peak_11",3.33334642862287e-05,3.29141415443065e-05
"peak_12",0.000220238960462583,0.000150982300661956
"peak_13",0.000153572031890125,0.000318874618998052
"peak_14",0.000191072179212133,0.000235079442130666
"peak_15",8.33336607155719e-05,8.09265131548085e-05
"peak_16",6.0556611226356e-07,5.78959128663299e-07
"peak_17",3.92858686230553e-05,6.34125662780216e-05
"peak_18",4.39512079565134e-06,4.7483038950205e-06
"peak_19",6.14288127560501e-05,4.44491893148799e-05
"peak_20",8.03001013319215e-06,5.48967765576021e-06
"peak_21",5.04763887762892e-05,3.33368919861599e-05
"peak_22",6.37365141297121e-05,4.4179743978314e-05
"peak_23",2.95919529887949e-05,1.74708090765978e-05
"peak_24",1.67031754349725e-05,1.27872764846351e-05
"peak_25",7.85717372461106e-05,7.17467892745616e-05
"peak_26",2.23810403064679e-05,2.65728849165043e-05
"peak_27",1.21118488244993e-05,1.03980854021104e-05
"peak_28",4.45056693491955e-05,4.50159536435186e-05
"peak_29",1.95358489174616e-06,2.18398222594483e-06
"peak_30",1.36982317917728e-05,1.59075621769529e-05
"peak_31",3.28186617489897e-06,4.79878879941785e-06
"peak_32",2.67778261347838e-06,2.17957887034382e-06
"peak_33",5.95240433682656e-05,9.11933095998216e-05
"peak_34",9.6939156342604e-06,1.24236864544695e-05
"peak_35",1.21849218189155e-05,1.11371650017702e-05
"peak_36",5.93442124215337e-06,5.88420446688591e-06
"peak_37",4.33037415504132e-05,3.01209689820603e-05
"peak_38",0.000111429009185393,6.95726441450294e-05
"peak_39",5.06491812720422e-07,7.66545291249603e-07
"peak_40",1.84502569849975e-06,3.40963719576078e-06
"peak_41",7.54409383063952e-06,7.8281749743117e-06
"peak_42",4.23811188782051e-05,3.8047539766813e-05
"peak_43",7.40444481317682e-06,5.85391795781413e-06
"peak_44",1.91079127544043e-06,2.18101864283079e-06
"peak_45",0.000285715408167675,0.000193084793646547
"peak_46",0.000360391026211499,0.00027852116773022
"peak_47",0.000561311728962745,0.000761554724538907
"peak_48",0.000213889729169968,0.000177454530711353
"peak_49",4.73686071435882e-05,3.24214624579359e-05
"peak_50",2.94644014672915e-05,2.41194225307475e-05
"peak_51",9.18370954824669e-06,2.38120657044e-05
"peak_52",0.000305953582912885,0.000253046335909439
"peak_53",1.80953091839527e-05,2.24661663384991e-05
"peak_54",4.26233782653692e-06,1.01702482294357e-05
"peak_55",0.000188095977043719,0.000128032990961339
"peak_56",5.63139584859578e-05,4.35394190607172e-05
"peak_57",3.50766684134422e-05,2.9387626378845e-05
"peak_58",0.000103571835460782,8.51540175733433e-05
"peak_59",0.000242858096942524,0.000223755769581019
"peak_60",5.21430619906007e-05,4.92806229360625e-05
"peak_61",2.0832082352127e-05,2.01219582073436e-05
"peak_62",0.000233929490437284,0.000178008132480446
"peak_63",5.45456688320107e-05,3.72239999450205e-05
"peak_64",7.69233791220663e-05,9.4950258758725e-05
"peak_65",8.0000314286949e-05,8.86568069487007e-05
"peak_66",0.000230953288268871,0.000154001946675195
"peak_67",3.33904506553472e-06,3.50635784259816e-06
"peak_68",6.19050051029962e-05,8.68148228806248e-05
"peak_69",5.38963156316296e-05,5.81419114185497e-05
"peak_70",0.000149048204594137,0.000101460106044835
"peak_71",0.000217857998727852,0.00028173297303521
"peak_72",1.63265947524386e-05,3.79181263662456e-05
"peak_73",1.19048086736531e-06,3.8392642168326e-06
"peak_74",1.89703492034069e-05,1.71793732798854e-05
"peak_75",9.89555826459774e-05,0.000121932541547251
"peak_76",2.16002230989041e-06,1.83933855135094e-06
"peak_77",1.0459224763281e-05,1.17119127513489e-05
"peak_78",0.000147024387119616,0.000107801362672637
"peak_79",2.76281408841384e-05,2.67617145324265e-05
"peak_80",0.00019800683543069,0.000270199632484998
"peak_81",1.82916394473543e-06,3.30575843958957e-06
"peak_82",2.14286556125756e-05,4.28034822376646e-05
"peak_83",1.29870640076216e-06,3.01964601323912e-06
"peak_84",0.000100051051619,8.93044246468592e-05
