"","SRR7992451Aligned.sortedByCoord.out_sorted.bam","SRR7992456Aligned.sortedByCoord.out_sorted.bam"
"peak_1",120,69
"peak_2",110,39
"peak_3",41,11
"peak_4",178,56
"peak_5",78,18
"peak_6",201,49
"peak_7",434,257
"peak_8",131,86
"peak_9",313,148
"peak_10",183,111
"peak_11",394,196
"peak_12",70,27
"peak_13",60,27
"peak_14",449,97
"peak_15",2384,788
"peak_16",224,93
"peak_17",124,38
"peak_18",136,19
"peak_19",87,17
"peak_20",216,124
"peak_21",130,83
"peak_22",582,341
"peak_23",202,132
"peak_24",503,253
"peak_25",1120,419
"peak_26",45,14
"peak_27",185,109
"peak_28",72,39
"peak_29",89,26
"peak_30",205,71
"peak_31",108,37
"peak_32",85,34
"peak_33",63,19
"peak_34",38,4
"peak_35",57,13
"peak_36",370,193
"peak_37",448,252
"peak_38",481,291
"peak_39",97,45
"peak_40",303,169
"peak_41",2419,905
"peak_42",224,138
"peak_43",179,111
"peak_44",819,330
"peak_45",818,359
"peak_46",429,170
"peak_47",1772,924
"peak_48",567,153
"peak_49",230,130
"peak_50",114,48
"peak_51",400,130
"peak_52",75,22
"peak_53",145,72
"peak_54",686,141
"peak_55",182,77
"peak_56",110,70
"peak_57",155,100
"peak_58",189,114
"peak_59",88,36
"peak_60",1380,608
"peak_61",5437,1319
"peak_62",800,429
"peak_63",345,169
"peak_64",209,89
"peak_65",402,258
"peak_66",68,10
"peak_67",572,278
"peak_68",240,46
"peak_69",121,68
"peak_70",423,262
"peak_71",19087,8427
"peak_72",51,14
"peak_73",185,100
"peak_74",155,48
"peak_75",68,36
"peak_76",159,78
"peak_77",262,96
"peak_78",1731,660
"peak_79",905,446
"peak_80",3122,1006
"peak_81",193,97
"peak_82",405,167
"peak_83",125,67
"peak_84",166,68
"peak_85",78,28
"peak_86",433,123
"peak_87",577,337
"peak_88",135,41
"peak_89",682,366
"peak_90",5130,3271
"peak_91",135,51
"peak_92",212,31
"peak_93",1235,672
"peak_94",939,269
"peak_95",254,114
"peak_96",256,98
"peak_97",237,85
"peak_98",141,81
"peak_99",292,187
"peak_100",513,248
"peak_101",1283,456
"peak_102",660,367
"peak_103",10095,2665
"peak_104",109,21
"peak_105",132,46
"peak_106",53,20
"peak_107",246,86
"peak_108",86,47
"peak_109",1986,530
"peak_110",101,61
"peak_111",77,21
"peak_112",44,8
"peak_113",105,11
"peak_114",39,2
"peak_115",239,99
"peak_116",554,272
"peak_117",86,39
"peak_118",430,193
"peak_119",192,80
"peak_120",290,142
"peak_121",390,91
"peak_122",219,28
"peak_123",2615,989
"peak_124",12594,2722
"peak_125",201,58
"peak_126",264,91
"peak_127",125,76
"peak_128",407,207
"peak_129",364,174
"peak_130",117,65
"peak_131",217,118
"peak_132",212,103
"peak_133",157,80
"peak_134",63,30
"peak_135",444,181
"peak_136",38,9
"peak_137",167,87
"peak_138",181,123
"peak_139",2849,825
"peak_140",198,84
"peak_141",60,28
"peak_142",187,111
"peak_143",297,208
"peak_144",235,158
"peak_145",47,14
"peak_146",433,172
"peak_147",708,199
"peak_148",280,130
"peak_149",518,160
"peak_150",158,89
"peak_151",36,5
"peak_152",1218,720
"peak_153",639,278
"peak_154",34,9
"peak_155",181,108
"peak_156",100,19
"peak_157",41,5
"peak_158",92,44
"peak_159",133,85
"peak_160",774,392
"peak_161",847,202
"peak_162",44,13
"peak_163",53,15
"peak_164",39,5
"peak_165",73,20
"peak_166",92,44
"peak_167",141,72
"peak_168",5586,1324
"peak_169",106,23
"peak_170",158,99
"peak_171",1697,710
"peak_172",166,67
"peak_173",119,24
"peak_174",106,32
"peak_175",56,21
"peak_176",102,54
"peak_177",118,71
"peak_178",545,175
"peak_179",352,170
"peak_180",2096,909
"peak_181",574,172
"peak_182",596,234
"peak_183",473,86
"peak_184",2409,779
