"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMeanCtrl","baseMeanCspr","entrez"
"100287102",120.357650900791,-0.640175528616537,0.284085364102635,0.0169964793646445,0.0335416696782226,148.65959144904,92.0557103525432,"DDX11L1"
"653635",3902.91845393072,0.0469894654498328,0.0971676083761891,0.627673415057913,0.701014186649995,3837.88271438222,3967.95419347922,"WASH7P"
"102466751",65.2679637131195,-0.880119300111756,0.391631806871657,0.0127394967772555,0.0259117781954294,87.2233969113194,43.3125305149195,"MIR6859-1"
"100302278",22.5801854040873,-3.62848969716226,0.830703830569488,9.94862242794031e-07,3.59003194059644e-06,42.2704246090063,2.88994619916821,"MIR1302-2"
"645520",378.045876956633,-3.46074471918034,0.210600135439985,5.00169230606642e-62,3.04538067697614e-60,693.120607309885,62.9711466033805,"FAM138A"
"79501",14.9321534454755,-1.21860502594973,0.812913858183754,0.0324494159973001,0.0593076157386421,23.0209832324432,6.84332365850782,"OR4F5"
"729737",6543.51757555357,-0.501025549189374,0.261758761187422,0.0444829950070465,0.0779501198684455,7755.22894480574,5331.8062063014,"LOC729737"
"102725121",72.6267777303335,0.0109849758349246,0.353354775700993,0.975225966555925,0.982381664866402,72.2487914182646,73.0047640424025,"LOC102725121"
"102723897",3358.19155055568,0.136550523660128,0.112182146716894,0.224087007325652,0.302005337078541,3197.43056734424,3518.95253376712,"WASH9P"
"102465909",39.5557410247024,-0.368645714199338,0.445739787671425,0.338984307484996,0.426555418502634,45.9582950170372,33.1531870323677,"MIR6859-2"
"729759",22.2051009543163,-0.874690187853122,0.640912388652379,0.0732707372047346,0.119587874429112,30.9557990413658,13.4544028672668,"OR4F29"
"100132287",6079.17290559776,-0.729889628614685,0.276072684052126,0.00515416290587661,0.0114387177999655,7695.69056842647,4462.65524276906,"LOC100132287"
"105378947",464.084762778159,-1.80524001982883,0.188550749774142,1.85248120955276e-22,1.86144606883984e-21,723.87737695134,204.292148604978,"LOC105378947"
"101928626",14.3813794477873,0.520077635826164,0.713569460766804,0.285125221995316,0.369370659627783,9.75022786005555,19.012531035519,"LOC101928626"
"102465432",407.626977486973,-3.69886567447589,0.237456004755878,1.30475938711497e-55,6.16727715567459e-54,758.36129554823,56.8926594257162,NA
"81399",55.2350411171612,-2.72673752518605,0.468152369051251,5.73998172094306e-10,2.67501764352879e-09,96.8899533235256,13.5801289107967,"OR4F16"
"100133331",5379.93093810984,-0.60582030979043,0.299285789977644,0.0308375209017105,0.0568095662833733,6598.83498623638,4161.02688998329,"LOC100133331"
"100288069",877.433253763639,-1.05343177673569,0.134786047957489,2.45338683298514e-15,1.62959321411901e-14,1187.54119496744,567.325312559841,"LOC100288069"
"400728",23.56096088506,-0.13456996557176,0.52307744221375,0.749250235842197,0.805252534696719,25.200236898122,21.9216848719981,"FAM87B"
"79854",224.758914912238,-2.57698525589915,0.255702929031879,6.95998053607204e-25,7.96260193601363e-24,386.024571409666,63.4932584148107,"LINC00115"
"643837",1344.48237141108,-0.331881918588863,0.118534784561257,0.00470999771303925,0.010524496237492,1501.37655194567,1187.58819087649,"LINC01128"
"284593",5.68197105948366,-0.173236050552529,0.751352497514504,0.681609723870796,0.748797960668253,6.70510389273497,4.65883822623236,"FAM41C"
"100130417",39.3877673518349,1.8874482256891,0.566365433312883,0.000154249990924903,0.000438152913072661,14.7793721147398,63.9961625889301,"LINC02593"
"148398",73.242065385207,3.57576089866472,0.527123429879939,1.74739679234006e-12,9.70442347622133e-12,10.3929743007658,136.091156469648,"SAMD11"
"26155",11073.9557403689,0.0580665209808215,0.0795436222379203,0.4624090825595,0.549284396003718,10848.3165262561,11299.5949544816,"NOC2L"
"339451",1264.40613195664,0.502913188934466,0.125444735144918,5.11018405348005e-05,0.000154527877636049,1041.98630447255,1486.82595944073,"KLHL17"
"84069",45.3874171620816,0.632322164101016,0.457710980379495,0.110565430703336,0.169052088627346,33.2745051201268,57.5003292040364,"PLEKHN1"
"84808",24.690065977049,0.0911632291462427,0.528645075624141,0.834129209293758,0.87390370763222,23.5242772600713,25.8558546940268,"PERM1"
"57801",302.400709830075,2.3250260318948,0.279581451090724,1.28648766761704e-17,9.88554552150366e-17,97.4211378337701,507.380281826379,"HES4"
"9636",320.090412905596,2.83847041949704,0.228967749015006,3.61285688319876e-36,7.36722017601382e-35,77.165108401951,563.015717409241,"ISG15"
"375790",9680.4337719066,2.02450362142543,0.117429035008276,3.18013576449983e-67,2.27723077302423e-65,3801.76591071628,15559.1016330969,"AGRN"
"105369174",83.5520839848397,-0.506697930881118,0.328745786566152,0.0960959738695549,0.150428689141142,99.8792963256133,67.224871644066,NA
