"","x"
"1","645520"
"2","81399"
"3","100288069"
"4","388581"
"5","126789"
"6","54587"
"7","54998"
"8","64856"
"9","79258"
"10","101929983"
"11","1188"
"12","55672"
"13","84809"
"14","11209"
"15","26869"
"16","102723383"
"17","23436"
"18","3925"
"19","115572"
"20","576"
"21","65243"
"22","4678"
"23","4998"
"24","100131060"
"25","1491"
"26","23507"
"27","55119"
"28","10885"
"29","128102"
"30","767846"
"31","645166"
"32","148741"
"33","8515"
"34","3608"
"35","55870"
"36","7818"
"37","2212"
"38","9103"
"39","2215"
"40","2213"
"41","56956"
"42","5788"
"43","1379"
"44","3142"
"45","127602"
"46","57116"
"47","93474"
"48","100500849"
"49","55657"
"50","9200"
"51","9576"
"52","731789"
"53","6935"
"54","399746"
"55","441666"
"56","643650"
"57","5540"
"58","414241"
"59","399761"
"60","29119"
"61","80312"
"62","6832"
"63","5033"
"64","642361"
"65","439994"
"66","54805"
"67","4288"
"68","85442"
"69","171389"
"70","7748"
"71","3047"
"72","10527"
"73","390199"
"74","219988"
"75","80150"
"76","65998"
"77","56834"
"78","81622"
"79","8772"
"80","2348"
"81","7352"
"82","56946"
"83","4647"
"84","220042"
"85","1111"
"86","677784"
"87","144195"
"88","51071"
"89","10376"
"90","144233"
"91","5557"
"92","6778"
"93","196441"
"94","64786"
"95","7181"
"96","10988"
"97","6636"
"98","160428"
"99","255394"
"100","29902"
"101","9612"
"102","55835"
"103","100887750"
"104","1638"
"105","26020"
"106","10548"
"107","55632"
"108","9692"
"109","5706"
"110","23034"
"111","51109"
"112","399671"
"113","145482"
"114","55775"
"115","196872"
"116","100289656"
"117","89839"
"118","23015"
"119","4091"
"120","653643"
"121","54939"
"122","55272"
"123","400410"
"124","84206"
"125","643707"
"126","374650"
"127","388165"
"128","26682"
"129","100422834"
"130","650655"
"131","23524"
"132","114984"
"133","283876"
"134","112479"
"135","100190986"
"136","79874"
"137","83985"
"138","79008"
"139","253980"
"140","548593"
"141","6818"
"142","79759"
"143","51327"
"144","24150"
"145","729355"
"146","348174"
"147","4166"
"148","100506581"
"149","124936"
"150","4927"
"151","26168"
"152","1770"
"153","388436"
"154","100462977"
"155","26118"
"156","440419"
"157","79915"
"158","55803"
"159","57125"
"160","94103"
"161","162427"
"162","100885848"
"163","51326"
"164","5164"
"165","440446"
"166","8535"
"167","56651"
"168","64863"
"169","5442"
"170","126353"
"171","374291"
"172","3643"
"173","10908"
"174","51293"
"175","284383"
"176","2057"
"177","9592"
"178","51599"
"179","199745"
"180","51276"
"181","94274"
"182","57828"
"183","8857"
"184","10567"
"185","602"
"186","54958"
"187","56917"
"188","2906"
"189","83743"
"190","114336"
"191","114335"
"192","342918"
"193","55769"
"194","162966"
"195","11025"
"196","84878"
"197","60526"
"198","9540"
"199","9553"
"200","25940"
"201","55471"
"202","23498"
"203","388951"
"204","55577"
"205","84865"
"206","9168"
"207","729857"
"208","440888"
"209","729234"
"210","375248"
"211","57730"
"212","164832"
"213","2274"
"214","699"
"215","80097"
"216","26469"
"217","905"
"218","9360"
"219","389058"
"220","8520"
"221","7035"
"222","64859"
"223","57181"
"224","101927289"
"225","51282"
"226","5933"
"227","8813"
"228","27304"
"229","101927770"
"230","5203"
"231","102724843"
"232","102724951"
"233","102723360"
"234","102465433"
"235","103504739"
"236","103504733"
"237","103504731"
"238","441058"
"239","54148"
"240","2618"
"241","10281"
"242","728229"
"243","85376"
"244","8218"
"245","54584"
"246","85359"
"247","7441"
"248","91227"
"249","6634"
"250","104310353"
"251","56993"
"252","9582"
"253","64432"
"254","57092"
"255","23350"
"256","83939"
"257","25976"
"258","6480"
"259","348840"
"260","3516"
"261","11019"
"262","23142"
"263","2921"
"264","2920"
"265","890"
"266","27152"
"267","10733"
"268","4258"
"269","2996"
"270","2994"
"271","2993"
"272","54798"
"273","5481"
"274","3248"
"275","79682"
"276","55325"
"277","22948"
"278","91942"
"279","6606"
"280","902"
"281","1070"
"282","153443"
"283","57396"
"284","26683"
"285","100507194"
"286","3007"
"287","100422934"
"288","10279"
"289","8340"
"290","9753"
"291","401242"
"292","80742"
"293","221545"
"294","3303"
"295","3304"
"296","7146"
"297","11165"
"298","6631"
"299","2289"
"300","100188893"
"301","60481"
"302","57691"
"303","5558"
"304","23036"
"305","101927288"
"306","25957"
"307","9896"
"308","442247"
"309","4602"
"310","85313"
"311","80328"
"312","26271"
"313","26034"
"314","729603"
"315","4018"
"316","56895"
"317","11116"
"318","221806"
"319","100271874"
"320","10392"
"321","401320"
"322","2617"
"323","100506776"
"324","23072"
"325","5478"
"326","643955"
"327","654816"
"328","84163"
"329","729438"
"330","3315"
"331","79161"
"332","8321"
"333","7978"
"334","889"
"335","8896"
"336","9179"
"337","352954"
"338","100289561"
"339","5439"
"340","100271927"
"341","79872"
"342","25913"
"343","168850"
"344","23382"
"345","51631"
"346","6742"
"347","441294"
"348","340307"
"349","155054"
"350","26"
"351","644128"
"352","427"
"353","56154"
"354","29942"
"355","4173"
"356","492307"
"357","157657"
"358","51001"
"359","6873"
"360","27085"
"361","29028"
"362","83696"
"363","57210"
"364","51160"
"365","203238"
"366","6023"
"367","84186"
"368","103352539"
"369","101928381"
"370","4010"
"371","27433"
"372","10999"
"373","22845"
"374","64170"
"375","1183"
"376","10943"
"377","1968"
"378","80258"
"379","6756"
"380","729408"
"381","54830"
"382","2182"
"383","6170"
"384","28985"
"385","441519"
"386","541465"
"387","27316"
"388","84968"
"389","1193"
