"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMeanCtrl","baseMeanCspr","entrez","log10.pvalue","Significant.Gene","Differential_Gene","label"
"100302278",22.5801854040873,-3.62848969716226,0.830703830569488,9.94862242794031e-07,3.59003194059644e-06,42.2704246090063,2.88994619916821,"MIR1302-2",5.44490168747654,"Yes","Down-Regulated","Yes"
"645520",378.045876956633,-3.46074471918034,0.210600135439985,5.00169230606642e-62,3.04538067697614e-60,693.120607309885,62.9711466033805,"FAM138A",59.5163584122013,"Yes","Down-Regulated","Yes"
"105378947",464.084762778159,-1.80524001982883,0.188550749774142,1.85248120955276e-22,1.86144606883984e-21,723.87737695134,204.292148604978,"LOC105378947",20.7301495419568,"Yes","Down-Regulated","Yes"
"102465432",407.626977486973,-3.69886567447589,0.237456004755878,1.30475938711497e-55,6.16727715567459e-54,758.36129554823,56.8926594257162,NA,53.2099065340651,"Yes","Down-Regulated","Yes"
"81399",55.2350411171612,-2.72673752518605,0.468152369051251,5.73998172094306e-10,2.67501764352879e-09,96.8899533235256,13.5801289107967,"OR4F16",8.572673349171,"Yes","Down-Regulated","Yes"
"100288069",877.433253763639,-1.05343177673569,0.134786047957489,2.45338683298514e-15,1.62959321411901e-14,1187.54119496744,567.325312559841,"LOC100288069",13.7879207924743,"Yes","Down-Regulated","Yes"
"79854",224.758914912238,-2.57698525589915,0.255702929031879,6.95998053607204e-25,7.96260193601363e-24,386.024571409666,63.4932584148107,"LINC00115",23.0989449948494,"Yes","Down-Regulated","Yes"
"100130417",39.3877673518349,1.8874482256891,0.566365433312883,0.000154249990924903,0.000438152913072661,14.7793721147398,63.9961625889301,"LINC02593",3.3583742965414,"Yes","Up-Regulated","Yes"
"148398",73.242065385207,3.57576089866472,0.527123429879939,1.74739679234006e-12,9.70442347622133e-12,10.3929743007658,136.091156469648,"SAMD11",11.0130302602275,"Yes","Up-Regulated","Yes"
"57801",302.400709830075,2.3250260318948,0.279581451090724,1.28648766761704e-17,9.88554552150366e-17,97.4211378337701,507.380281826379,"HES4",16.0049993596895,"Yes","Up-Regulated","Yes"
"9636",320.090412905596,2.83847041949704,0.228967749015006,3.61285688319876e-36,7.36722017601382e-35,77.165108401951,563.015717409241,"ISG15",34.1326963506692,"Yes","Up-Regulated","Yes"
"375790",9680.4337719066,2.02450362142543,0.117429035008276,3.18013576449983e-67,2.27723077302423e-65,3801.76591071628,15559.1016330969,"AGRN",64.642592956046,"Yes","Up-Regulated","Yes"
"254173",8.42447741745367,2.12310539164537,1.50636135361078,0.0167232809372478,0.0330539749950885,1.48072625973562,15.3682285751717,"TTLL10",1.48077630578116,"Yes","Up-Regulated","Yes"
"51150",5672.93342071035,1.03399503997806,0.0961487228888946,2.71751722846093e-27,3.51791990043525e-26,3709.479152365,7636.38768905569,"SDF4",25.4537140532228,"Yes","Up-Regulated","Yes"
"126792",1323.07267186703,2.57795748150156,0.146723713013941,5.40257763809728e-70,4.10025205674468e-68,376.245187726462,2269.9001560076,"B3GALT6",67.3871894448684,"Yes","Up-Regulated","Yes"
"388581",55.0447847023944,1.68168795210444,0.490592273327168,0.000127859364471923,0.000367597804698923,23.7474011210028,86.3421682837859,"C1QTNF12",3.43462709089308,"Yes","Up-Regulated","Yes"
