"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input","ReadsCount.IP","log2FoldChange","pvalue","padj"
"chr20",50958423,50958548,"peak_1",40.5669571836412,"-",50958423,50958548,0,1,125,0,"ENSG00000000419",69,120,1.55493641983063,4.88091394533041e-13,6.13944417726272e-13
"chr19",30445486,30445536,"peak_2",54.5100874076672,"+",30445486,30445536,0,1,50,0,"ENSG00000198597.8,ENSG00000280061",39,110,2.25252777571582,2.69579180865701e-17,3.89788142898065e-17
"chr6",36200619,36200894,"peak_3",24.955262065715,"+",36200619,36200894,0,1,275,0,"ENSG00000096070",11,41,2.6546905105276,2.99521030187498e-08,3.07409701036484e-08
"chr16",873767,873817,"peak_4",90.6958550543569,"-",873767,873817,0,1,50,0,"ENSG00000103227.18,ENSG00000260807",56,178,2.42494877422898,2.65062322250355e-28,4.98685965716406e-28
"chr17",59607256,59607356,"peak_5",45.6765605718546,"+",59607256,59607356,0,1,100,0,"ENSG00000108406",18,78,2.87204742866011,1.33734692696619e-14,1.77821868392146e-14
"chr2",156582885,156583035,"peak_6",110.374611970696,"+",156582885,156583035,0,1,150,0,"ENSG00000115159",49,201,2.79291210395238,2.83651706313864e-34,5.94197796633783e-34
"chr19",39406812,39406937,"peak_7",131.833242425957,"+",39406812,39406937,0,1,125,0,"ENSG00000128016",257,434,1.51249690754476,8.89863510737879e-41,2.06176709486974e-40
"chr12",30630512,30630712,"peak_8",37.3152801920916,"-",30630512,30630712,0,1,200,0,"ENSG00000133704",86,131,1.3637285205606,4.84744066140574e-12,5.84764992889629e-12
"chr1",24469122,24469347,"peak_9",121.40166623938,"+",24469122,24469347,0,1,225,0,"ENSG00000001461",148,313,1.83713572134511,1.2865044233259e-37,2.84745545216452e-37
"chrX",65529688,65529788,"peak_10",56.1819290749498,"-",65529688,65529788,0,1,100,0,"ENSG00000001497",111,183,1.47785422974849,8.34957140297836e-18,1.22335959953637e-17
"chrX",65518015,65518340,"peak_11",144.986216463159,"-",65518015,65518340,0,1,325,0,"ENSG00000001497",196,394,1.76391220616228,9.23918796007723e-45,2.26360105021892e-44
"chr3",50155094,50155194,"peak_12",34.5020381693535,"+",50155094,50155194,0,1,100,0,"ENSG00000001617",27,70,2.1309658064608,3.51556997911632e-11,4.11009253262557e-11
"chr3",50188074,50188124,"peak_13",27.3045833157919,"+",50188074,50188124,0,1,50,0,"ENSG00000001617",27,60,1.90857339942268,5.69429945343436e-09,6.03255656535303e-09
"chr10",131947786,131956178,"peak_14",247.15328142032,"+",131947786,131956178,0,1,8392,0,"ENSG00000175470",97,449,2.96722903065506,1.15990737319702e-75,3.97602188048629e-75
"chr7",5377512,5389542,"peak_15",Inf,"-",5377512,5389542,0,1,12030,0,"ENSG00000182095",788,2384,2.3536868991753,0,0
"chr9",76501896,76503803,"peak_16",97.2482710586478,"+",76501896,76503803,0,1,1907,0,"ENSG00000187210",93,224,2.02476636672792,2.71509331485708e-30,5.31316600048545e-30
"chr6",53544920,53545095,"peak_17",65.0368506433445,"-",53544920,53545095,0,1,175,0,"ENSG00000001084.10,ENSG00000231683",38,124,2.46283906943247,1.68063886604166e-20,2.64214795045749e-20
"chr3",47380313,47380713,"peak_18",78.6072989926436,"-",47380313,47380713,0,1,400,0,"ENSG00000260236",19,136,3.59610548437369,1.25031695505908e-24,2.17192650424267e-24
"chr5",141491399,141491624,"peak_19",51.6126619263542,"+",141491399,141491624,0,1,225,0,"ENSG00000081853.14,ENSG00000204956.5,ENSG00000240184.6,ENSG00000240764.3,ENSG00000242419.5,ENSG00000253159.2,ENSG00000253305.2,ENSG00000253485.2,ENSG00000253537.2,ENSG00000253731.2,ENSG00000253767.2,ENSG00000253846.2,ENSG00000253873.5,ENSG00000253910.2,ENSG00000253953.2,ENSG00000254122.2,ENSG00000254221.2,ENSG00000254245.2,ENSG00000261934.2,ENSG00000262209.2,ENSG00000262576.2,ENSG00000276547",17,87,3.11205083467631,2.0653997486404e-16,2.90429417701985e-16
"chr20",58889113,58889263,"peak_20",70.1000065902102,"+",58889113,58889263,0,1,150,0,"ENSG00000087460",124,216,1.5572614430353,4.83182179267797e-22,7.90306074591863e-22
"chr12",120127377,120127727,"peak_21",38.4549059188536,"-",120127377,120127727,0,1,350,0,"ENSG00000089154",83,130,1.40389865640256,2.16461389638455e-12,2.65411562049109e-12
"chrX",68829396,68829796,"peak_22",177.762400601035,"+",68829396,68829796,0,1,400,0,"ENSG00000090776",341,582,1.52781763016583,1.10933499667002e-54,3.07740969647979e-54
"chr6",36201194,36204462,"peak_23",55.842203383974,"+",36201194,36204462,0,1,3268,0,"ENSG00000096070",132,202,1.37038761480105,1.05946702233071e-17,1.54818108614887e-17
"chr19",1271937,1272112,"peak_24",182.067004997599,"+",1271937,1272112,0,1,175,0,"ENSG00000099622",253,503,1.74799123808538,5.53029317400688e-56,1.55729279761935e-55
