"chr","chromStart","chromEnd","name","score","strand","thickStart","thickEnd","itemRgb","blockCount","blockSizes","blockStarts","geneID","ReadsCount.input","ReadsCount.IP","log2FoldChange","pvalue","padj"
"chr20",50958423,50958548,"peak_1",41.9400243282082,"-",50958423,50958548,0,1,125,0,"ENSG00000000419",69,120,1.58351536369246,1.8660212050552e-13,2.37025274568412e-13
"chr7",149295112,149297136,"peak_2",177.997755481928,"+",149295112,149297136,0,1,2024,0,"ENSG00000204946.10,ENSG00000244560",437,661,1.38216614865559,9.42999023869619e-55,2.61418572653809e-54
"chr9",129107771,129107896,"peak_3",54.3940543092514,"-",129107771,129107896,0,1,125,0,"ENSG00000095321",41,110,2.20895693467678,2.93459864857965e-17,4.22433223409768e-17
"chr17",59607289,59607364,"peak_4",25.42582858891,"+",59607289,59607364,0,1,75,0,"ENSG00000108406",11,41,2.68326944647949,2.15778951988585e-08,2.21851786412634e-08
"chr1",52896384,52896434,"peak_5",92.7593924853963,"-",52896384,52896434,0,1,50,0,"ENSG00000121310",56,178,2.45352771795203,6.29095350235075e-29,1.1930001061909e-28
"chr22",37568715,37568990,"peak_6",46.0640029968977,"+",37568715,37568990,0,1,275,0,"ENSG00000128283",19,78,2.82262387050307,1.02499979521647e-14,1.35941913148977e-14
"chr14",70584688,70584913,"peak_7",25.0721132700317,"-",70584688,70584913,0,1,225,0,"ENSG00000133997.12,ENSG00000259115",25,54,1.89618056291765,2.7670617891561e-08,2.83492680966636e-08
"chr1",24358123,24358523,"peak_8",112.568291453572,"-",24358123,24358523,0,1,400,0,"ENSG00000001460",49,201,2.8214910474859,6.15081865417127e-35,1.29887605873104e-34
"chr1",24419337,24419687,"peak_9",139.505115985795,"+",24419337,24419687,0,1,350,0,"ENSG00000001461",258,439,1.55199904337163,4.22500243683493e-43,1.01105676567438e-42
"chr1",24469105,24469355,"peak_10",127.308374182207,"+",24469105,24469355,0,1,250,0,"ENSG00000001461",152,320,1.85914976544152,2.09362453772722e-39,4.74635996304273e-39
"chr19",3976130,3976630,"peak_11",54.6143404027832,"-",3976130,3976630,0,1,500,0,"ENSG00000167658.16,ENSG00000206775",119,185,1.42171289775009,2.51272546179967e-17,3.62614649421423e-17
"chr17",67944521,67945738,"peak_12",148.297359662788,"+",67944521,67945738,0,1,1217,0,"ENSG00000171634.18,ENSG00000279880",203,399,1.76005819405405,9.19926780693868e-46,2.28058605131224e-45
"chr19",45768570,45769245,"peak_13",35.3396998373358,"-",45768570,45769245,0,1,675,0,"ENSG00000177045",27,70,2.15954474795329,1.95520833583016e-11,2.29980127919052e-11
"chr5",15500179,15500454,"peak_14",36.441699990229,"+",15500179,15500454,0,1,275,0,"ENSG00000183580",52,96,1.6696720196725,8.99614321179239e-12,1.07140880204912e-11
"chr1",20731029,20732265,"peak_15",28.0221980265424,"-",20731029,20732265,0,1,1236,0,"ENSG00000189410",27,60,1.93715234077354,3.43410398181397e-09,3.66840983885812e-09
"chr6",143511623,143511720,"peak_16",251.856814863408,"-",143511623,143511720,0,1,97,0,"ENSG00000001036",97,449,2.99580797525345,4.38593229147343e-77,1.52596338758808e-76
"chr7",107742973,107743073,"peak_17",174.380042336741,"-",107742973,107743073,0,1,100,0,"ENSG00000241764",253,484,1.72101883114158,1.17485348754805e-53,3.20905094302539e-53
"chr5",1610330,1610405,"peak_18",Inf,"+",1610330,1610405,0,1,75,0,"ENSG00000271119",797,2391,2.37011164429019,0,0
"chr9",96491990,96492165,"peak_19",99.1876838649228,"-",96491990,96492165,0,1,175,0,"ENSG00000081377",94,224,2.03791527043622,7.03850628373716e-31,1.38526211242075e-30
"chr11",44587718,44587768,"peak_20",66.466415572273,"+",44587718,44587768,0,1,50,0,"ENSG00000085117",38,124,2.4914180122545,6.17901153252182e-21,9.80878484632074e-21
"chr20",2484241,2484466,"peak_21",74.8634606412452,"-",2484241,2484466,0,1,225,0,"ENSG00000088876.13,ENSG00000256566",18,127,3.60390877349753,1.72662704409538e-23,2.90973050934801e-23
"chr14",99502786,99503061,"peak_22",52.2255578980499,"+",99502786,99503061,0,1,275,0,"ENSG00000090061",18,87,3.05816763157964,1.34681191221252e-16,1.89906807252922e-16
"chr8",76866780,76866880,"peak_23",30.1709472652137,"+",76866780,76866880,0,1,100,0,"ENSG00000091656",7,47,3.53238256856065,7.53639119024676e-10,8.272559044527e-10
"chr9",129095841,129095916,"peak_24",34.1153370143992,"-",129095841,129095916,0,1,75,0,"ENSG00000095321",45,86,1.71956090073987,4.63725117875159e-11,5.37353703564514e-11
"chr19",17226723,17226873,"peak_25",43.6944965556403,"+",17226723,17226873,0,1,150,0,"ENSG00000099330",57,111,1.74667508197869,5.43475462653636e-14,7.02499292701241e-14
"chr22",20998589,20998839,"peak_26",100.500434823951,"+",20998589,20998839,0,1,250,0,"ENSG00000099949.21,ENSG00000183773.15,ENSG00000285314",139,270,1.74302371318674,2.81450241234145e-31,5.57640798902671e-31
"chr22",38684314,38684464,"peak_27",225.511977115159,"+",38684314,38684464,0,1,150,0,"ENSG00000100216",115,422,2.66075832094913,4.0320837333244e-69,1.30056034176079e-68
"chr14",103333643,103334872,"peak_28",135.455846368923,"+",103333643,103334872,0,1,1229,0,"ENSG00000100664",274,448,1.49447200701017,7.10983196966622e-42,1.67389092522627e-41
"chr20",25300373,25300748,"peak_29",184.368273196153,"-",25300373,25300748,0,1,375,0,"ENSG00000100997",342,583,1.55464871981995,1.11444420459659e-56,3.15950843529578e-56
"chr20",32309772,32310172,"peak_30",286.592875859834,"+",32309772,32310172,0,1,400,0,"ENSG00000101350",545,922,1.54365967227733,1.40917115651876e-87,5.33270822916933e-87
"chrX",108153769,108153944,"peak_31",445.757295726114,"+",108153769,108153944,0,1,175,0,"ENSG00000101844",653,1252,1.72422881325399,1.24269196327073e-135,6.51153231788489e-135
"chr13",44575095,44575870,"peak_32",72.5571924743459,"-",44575095,44575870,0,1,775,0,"ENSG00000102804",124,216,1.58584038769109,8.6719856510764e-23,1.43915862255379e-22
"chr16",287989,289572,"peak_33",258.033061682917,"-",287989,289572,0,1,1583,0,"ENSG00000103126",472,812,1.56784202200552,5.97732257888734e-79,2.11012683439982e-78
"chr16",29694928,29695825,"peak_34",187.504862282287,"+",29694928,29695825,0,1,897,0,"ENSG00000103485.19,ENSG00000197471",351,596,1.54899046104982,1.25506215306639e-57,3.59262692326032e-57
"chr8",42330837,42331687,"peak_35",253.134501511671,"+",42330837,42331687,0,1,850,0,"ENSG00000104365",567,893,1.44046059134698,1.80416612127251e-77,6.29393288515452e-77
"chr19",45370443,45370618,"peak_36",187.244432054727,"-",45370443,45370618,0,1,175,0,"ENSG00000104884",254,503,1.77087907111586,1.50490262111096e-57,4.30337735746593e-57
"chr19",40232866,40233091,"peak_37",538.452039626167,"-",40232866,40233091,0,1,225,0,"ENSG00000105221",836,1559,1.68419522504226,1.33058603683161e-163,8.12427931346197e-163
"chr19",48161453,48169636,"peak_38",26.3647726805681,"-",48161453,48169636,0,1,8183,0,"ENSG00000105486",14,45,2.46964732687435,1.11094164736403e-08,1.1572111093965e-08
"chr7",95434266,95435110,"peak_39",60.8819791598628,"-",95434266,95435110,0,1,844,0,"ENSG00000105854",109,185,1.54834633817251,3.1023623906173e-19,4.70650015678997e-19
"chr7",128409890,128410040,"peak_40",28.3474416412249,"-",128409890,128410040,0,1,150,0,"ENSG00000106348",42,75,1.62165051777915,2.73227145910937e-09,2.92799119008491e-09
"chr9",127874975,127877675,"peak_41",49.5980497735133,"-",127874975,127877675,0,1,2700,0,"ENSG00000106992.19,ENSG00000257524",26,89,2.56044292039277,8.52545739649076e-16,1.17354376863352e-15
"chr10",89214818,89214893,"peak_42",97.330939943291,"-",89214818,89214893,0,1,75,0,"ENSG00000107798",64,192,2.37011170798299,2.57319036727728e-30,5.01727113291806e-30
